"Density","Momentum:0","Momentum:1","Momentum:2","StagnationEnergy","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
1.6069,3.3946,0.87971,0.12697,9.0536,0.88378,-0.094941,-0.27713,-4.1161,-0.11529,-0.31026,0.25047,-0.96786,-0.022822,0.7148,0.96405,2.0458
1.5031,3.2744,0.74001,0.12405,8.4954,0.90387,0.039967,-0.22039,-4.9052,-0.12033,-0.19073,0.21051,-0.97715,-0.029354,0.78328,0.98064,2.0484
1.3079,3.0101,0.44423,0.10255,7.4611,0.96681,-0.043339,0.015261,-3.8642,-0.1317,-0.17079,0.14797,-0.98806,-0.042987,0.99094,1.0193,2.056
1.1485,2.7592,0.22696,0.08238,6.6111,1.0383,-0.027223,0.060027,-2.5064,-0.14126,-0.096749,0.085713,-0.99483,-0.054519,1.2071,1.0432,2.0628
1.0465,2.5731,0.11283,0.073144,6.0416,1.1207,-0.031226,0.12485,-1.2822,-0.14781,-0.062116,0.046789,-0.99697,-0.062179,1.4347,1.0566,2.0693
0.98647,2.4561,0.059289,0.062,5.7092,1.2164,-0.021452,0.37917,-0.65395,-0.15216,-0.02879,0.028215,-0.99735,-0.067114,1.6811,1.0644,2.0763
0.96137,2.4215,0.044224,0.030522,5.5912,1.3284,-0.11456,0.63192,-0.76844,-0.16008,-0.11268,0.019123,-0.99698,-0.075216,1.9564,1.0702,2.0815
0.92343,2.343,0.028709,0.0030123,5.384,1.4421,-0.10375,0.55667,-0.72333,-0.17205,-0.097849,0.012041,-0.99612,-0.087192,2.2318,1.0745,2.0834
0.87875,2.2513,0.011968,-0.031303,5.1405,1.5783,-0.080118,0.53437,-0.59959,-0.1834,-0.068933,0.0043222,-0.99513,-0.098456,2.5507,1.0772,2.0815
0.83041,2.1598,-0.00030468,-0.080884,4.8833,1.7481,-0.054273,0.67021,-0.39796,-0.19261,-0.039436,-0.0041155,-0.99421,-0.1074,2.933,1.0782,2.0718
0.78131,2.0536,-0.010311,-0.12347,4.6106,1.9251,-0.010211,0.53439,-0.21539,-0.19609,5.5236e-05,-0.011402,-0.99381,-0.11052,3.315,1.0771,2.0529
0.72906,1.9268,-0.015851,-0.16242,4.307,2.1546,0.06593,0.14749,-0.05161,-0.18819,0.06882,-0.015436,-0.99463,-0.10235,3.7859,1.0739,2.0189
0.72896,1.9277,-0.0021043,-0.17064,4.3064,2.3987,0.066118,-0.18822,-0.018245,-0.17152,0.067674,-0.0079677,-0.99623,-0.086363,4.2561,1.0709,1.9764
0.77338,2.0377,0.026322,-0.14983,4.565,2.7066,0.0061065,-0.37532,-0.21844,-0.15845,0.017272,0.0060248,-0.99721,-0.074436,4.8499,1.0745,1.9281
0.80053,2.0957,0.036884,-0.11957,4.7168,2.9981,-0.021595,-0.42724,-0.32982,-0.15743,-0.010279,0.012586,-0.9972,-0.073738,5.4442,1.0846,1.8893
